9/2/18 10:37 PM
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   83781	236094	                    2186903	                      2187662	  1382	
Remaining:       	   71463	203011	                    1882933	                      1883472	  1102	
Unique:          	   82356	234535	                    2178933	                      2179689	  1382	
Unique Remaining:	   70714	202173	                    1878287	                      1878823	  1102	


Individual File Statistics:

File Name	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
0252.txt 	            28	                 0	             28	                        0	        122	              0	         122	                     0	                             1069	                                    0	                              1069	                                           0	                               1070	                                      0	                                1070	                                             0	
0253.txt 	            23	                 0	             23	                        0	        128	              0	         128	                     0	                             1079	                                    0	                              1079	                                           0	                               1080	                                      0	                                1080	                                             0	
0254.txt 	            38	                 0	             38	                        0	        127	              0	         127	                     0	                             1041	                                    0	                              1041	                                           0	                               1042	                                      0	                                1042	                                             0	
0255.txt 	            35	                 0	             35	                        0	        106	              0	         106	                     0	                             1043	                                    0	                              1043	                                           0	                               1043	                                      0	                                1043	                                             0	
0256.txt 	            35	                 0	             35	                        0	        121	              0	         121	                     0	                             1036	                                    0	                              1036	                                           0	                               1037	                                      0	                                1037	                                             0	
0257.txt 	            36	                 0	             36	                        0	        118	              0	         118	                     0	                             1016	                                    0	                              1016	                                           0	                               1017	                                      0	                                1017	                                             0	
0258.txt 	            33	                 0	             33	                        0	        109	              0	         109	                     0	                             1036	                                    0	                              1036	                                           0	                               1037	                                      0	                                1037	                                             0	
0259.txt 	            45	                 0	             45	                        0	        124	              0	         124	                     0	                             1030	                                    0	                              1030	                                           0	                               1031	                                      0	                                1031	                                             0	
0260.txt 	            33	                 0	             33	                        0	        119	              0	         119	                     0	                             1031	                                    0	                              1031	                                           0	                               1032	                                      0	                                1032	                                             0	
0261.txt 	            41	                 0	             41	                        0	        118	              0	         118	                     0	                             1028	                                    0	                              1028	                                           0	                               1029	                                      0	                                1029	                                             0	
0262.txt 	            31	                 0	             31	                        0	        116	              0	         116	                     0	                             1057	                                    0	                              1057	                                           0	                               1058	                                      0	                                1058	                                             0	
0263.txt 	            37	                 0	             37	                        0	        120	              0	         120	                     0	                             1057	                                    0	                              1057	                                           0	                               1057	                                      0	                                1057	                                             0	
0264.txt 	            30	                 0	             30	                        0	        112	              0	         112	                     0	                             1032	                                    0	                              1032	                                           0	                               1033	                                      0	                                1033	                                             0	
0265.txt 	            34	                 0	             34	                        0	        114	              0	         114	                     0	                             1015	                                    0	                              1015	                                           0	                               1016	                                      0	                                1016	                                             0	
0266.txt 	            30	                 0	             30	                        0	        102	              0	         102	                     0	                             1027	                                    0	                              1027	                                           0	                               1028	                                      0	                                1028	                                             0	
0267.txt 	            31	                 0	             31	                        0	        143	              0	         143	                     0	                             1019	                                    0	                              1019	                                           0	                               1020	                                      0	                                1020	                                             0	
0268.txt 	            27	                 0	             27	                        0	        122	              0	         122	                     0	                             1029	                                    0	                              1029	                                           0	                               1029	                                      0	                                1029	                                             0	
0269.txt 	            29	                 0	             29	                        0	        112	              0	         112	                     0	                             1014	                                    0	                              1014	                                           0	                               1015	                                      0	                                1015	                                             0	
0270.txt 	            27	                 0	             27	                        0	        111	              0	         111	                     0	                             1033	                                    0	                              1033	                                           0	                               1034	                                      0	                                1034	                                             0	
0271.txt 	            25	                 0	             25	                        0	        113	              0	         113	                     0	                             1038	                                    0	                              1038	                                           0	                               1039	                                      0	                                1039	                                             0	
0272.txt 	            31	                 0	             30	                        0	        124	              0	         123	                     0	                             1032	                                    0	                              1027	                                           0	                               1033	                                      0	                                1028	                                             0	
0273.txt 	            36	                 0	             36	                        0	        109	              0	         109	                     0	                             1028	                                    0	                              1028	                                           0	                               1028	                                      0	                                1028	                                             0	
0274.txt 	            26	                 0	             26	                        0	        109	              0	         109	                     0	                             1017	                                    0	                              1017	                                           0	                               1017	                                      0	                                1017	                                             0	
0275.txt 	            25	                 0	             25	                        0	        107	              0	         107	                     0	                             1017	                                    0	                              1017	                                           0	                               1017	                                      0	                                1017	                                             0	
0276.txt 	            37	                 0	             37	                        0	        109	              0	         109	                     0	                             1019	                                    0	                              1019	                                           0	                               1020	                                      0	                                1020	                                             0	
0277.txt 	            43	                 0	             43	                        0	        114	              0	         114	                     0	                             1022	                                    0	                              1022	                                           0	                               1023	                                      0	                                1023	                                             0	
0278.txt 	            35	                 0	             35	                        0	        106	              0	         106	                     0	                             1042	                                    0	                              1042	                                           0	                               1044	                                      0	                                1044	                                             0	
0279.txt 	            38	                 0	             38	                        0	         99	              0	          99	                     0	                             1013	                                    0	                              1013	                                           0	                               1014	                                      0	                                1014	                                             0	
0280.txt 	            40	                 0	             40	                        0	         99	              0	          99	                     0	                             1032	                                    0	                              1032	                                           0	                               1033	                                      0	                                1033	                                             0	
0281.txt 	            32	                 0	             32	                        0	         97	              0	          97	                     0	                             1034	                                    0	                              1034	                                           0	                               1035	                                      0	                                1035	                                             0	
0282.txt 	            35	                 0	             35	                        0	         97	              0	          97	                     0	                             1021	                                    0	                              1021	                                           0	                               1022	                                      0	                                1022	                                             0	
0283.txt 	            27	                 0	             27	                        0	        105	              0	         105	                     0	                             1067	                                    0	                              1067	                                           0	                               1068	                                      0	                                1068	                                             0	
0284.txt 	            39	                 0	             38	                        0	        102	              0	         100	                     0	                             1023	                                    0	                              1015	                                           0	                               1024	                                      0	                                1016	                                             0	
0285.txt 	            48	                 0	             48	                        0	        112	              0	         112	                     0	                             1020	                                    0	                              1020	                                           0	                               1020	                                      0	                                1020	                                             0	
0286.txt 	            44	                 0	             44	                        0	        113	              0	         113	                     0	                             1033	                                    0	                              1033	                                           0	                               1033	                                      0	                                1033	                                             0	
0287.txt 	            49	                 0	             49	                        0	        111	              0	         111	                     0	                             1021	                                    0	                              1021	                                           0	                               1022	                                      0	                                1022	                                             0	
0288.txt 	            38	                 0	             38	                        0	        107	              0	         107	                     0	                             1032	                                    0	                              1032	                                           0	                               1033	                                      0	                                1033	                                             0	
0289.txt 	            38	                 0	             37	                        0	        110	              0	         109	                     0	                             1056	                                    0	                              1051	                                           0	                               1058	                                      0	                                1053	                                             0	
0290.txt 	            31	                 0	             31	                        0	        113	              0	         113	                     0	                             1058	                                    0	                              1058	                                           0	                               1059	                                      0	                                1059	                                             0	
0291.txt 	            57	                 0	             57	                        0	        126	              0	         126	                     0	                             1055	                                    0	                              1055	                                           0	                               1056	                                      0	                                1056	                                             0	
0292.txt 	            36	                 0	             36	                        0	        114	              0	         114	                     0	                             1018	                                    0	                              1018	                                           0	                               1019	                                      0	                                1019	                                             0	
0293.txt 	            53	                 0	             53	                        0	        113	              0	         113	                     0	                             1016	                                    0	                              1016	                                           0	                               1017	                                      0	                                1017	                                             0	
0294.txt 	            49	                 0	             49	                        0	        122	              0	         122	                     0	                             1067	                                    0	                              1067	                                           0	                               1067	                                      0	                                1067	                                             0	
0295.txt 	            36	                 0	             36	                        0	        113	              0	         113	                     0	                             1051	                                    0	                              1051	                                           0	                               1051	                                      0	                                1051	                                             0	
0296.txt 	            38	                 0	             37	                        0	        110	              0	         109	                     0	                             1048	                                    0	                              1043	                                           0	                               1049	                                      0	                                1044	                                             0	
0297.txt 	            37	                 0	             36	                        0	        112	              0	         112	                     0	                             1048	                                    0	                              1044	                                           0	                               1049	                                      0	                                1045	                                             0	
0298.txt 	            43	                 0	             43	                        0	        113	              0	         113	                     0	                             1018	                                    0	                              1018	                                           0	                               1019	                                      0	                                1019	                                             0	
0299.txt 	            34	                 0	             34	                        0	        121	              0	         121	                     0	                             1050	                                    0	                              1050	                                           0	                               1051	                                      0	                                1051	                                             0	
0300.txt 	            50	                 0	             50	                        0	        112	              0	         112	                     0	                             1052	                                    0	                              1052	                                           0	                               1054	                                      0	                                1054	                                             0	
